iter	RMSE
0	7230.71812
1	6734.83318
2	6274.955072
3	5865.46486
4	5525.091325
5	5205.614304
6	4933.98852
7	4687.654612
8	4464.883136
9	4269.068332
10	4100.194774
11	3932.644136
12	3779.174939
13	3659.150857
14	3556.874819
15	3451.611905
16	3365.89786
17	3287.365072
18	3222.475036
19	3160.536904
20	3106.153565
21	3061.848312
22	3020.081482
23	2986.013221
24	2950.731927
25	2915.948486
26	2879.865095
27	2852.211215
28	2822.725821
29	2797.605044
30	2769.107374
31	2748.716834
32	2731.117609
33	2710.077494
34	2695.377626
35	2670.790387
36	2652.710133
37	2641.322459
38	2625.60698
39	2615.897537
40	2604.538433
41	2596.975186
42	2583.053743
43	2574.164427
44	2566.962432
45	2556.220067
46	2544.832252
47	2537.406079
48	2528.825548
49	2513.802285
50	2498.472225
51	2492.580246
52	2488.550688
53	2484.124739
54	2481.03229
55	2474.131452
56	2465.20532
57	2455.839241
58	2449.469968
59	2441.747568
60	2436.165011
61	2432.33049
62	2425.536922
63	2420.067209
64	2416.166905
65	2414.129075
66	2409.472098
67	2404.291811
68	2398.359461
69	2391.143542
70	2387.07825
71	2382.148561
72	2376.149719
73	2370.808865
74	2364.785056
75	2356.169392
76	2349.992681
77	2346.243825
78	2339.983203
79	2336.130015
80	2333.369918
81	2331.041811
82	2325.914745
83	2322.096673
84	2316.467151
85	2311.446111
86	2307.531042
87	2300.808914
88	2296.205374
89	2288.289297
90	2283.482653
91	2277.526462
92	2274.802392
93	2270.90898
94	2267.824262
95	2265.743594
96	2262.847717
97	2256.677234
98	2254.8886
99	2251.992835
100	2246.840391
101	2244.735308
102	2240.455412
103	2237.305645
104	2233.175992
105	2228.91802
106	2226.717303
107	2220.901723
108	2218.35806
109	2213.653879
110	2211.043281
111	2207.141532
112	2201.79261
113	2196.753299
114	2191.03481
115	2188.539118
116	2185.590037
117	2183.094602
118	2180.417255
119	2176.492111
120	2173.749829
121	2171.856755
122	2168.395217
123	2164.232018
124	2160.474168
125	2155.180824
126	2153.421351
127	2150.917898
128	2148.374754
129	2145.978393
130	2143.165606
131	2140.959745
132	2138.870243
133	2136.419515
134	2134.082297
135	2129.378101
136	2127.966734
137	2125.523919
138	2123.684287
139	2122.881432
140	2120.347907
141	2117.78067
142	2115.636281
143	2114.199598
144	2112.726135
145	2109.844586
146	2107.364344
147	2102.159896
148	2099.471812
149	2098.012706
150	2094.839753
151	2091.897922
152	2090.146299
153	2087.447061
154	2085.356243
155	2082.026544
156	2079.116447
157	2077.309265
158	2072.117105
159	2068.288024
160	2064.927093
161	2063.111606
162	2061.780765
163	2060.273416
164	2059.597137
165	2057.690832
166	2056.390925
167	2055.030499
168	2053.994657
169	2051.31927
170	2047.124699
171	2045.690337
172	2041.637328
173	2039.341028
174	2035.913774
175	2034.942551
176	2033.101454
177	2031.584076
178	2029.41969
179	2028.393605
180	2026.655312
181	2024.999075
182	2024.388264
183	2023.294299
184	2022.200265
185	2020.725655
186	2017.641013
187	2013.908802
188	2011.904068
189	2008.657413
190	2005.155202
191	2000.136295
192	1998.366841
193	1993.287542
194	1990.679484
195	1989.154637
196	1987.143293
197	1985.233393
198	1982.908431
199	1981.368176
