iter	Passed	Remaining
0	1	256
1	2	201
2	2	180
3	3	171
4	4	162
5	4	156
6	5	156
7	6	154
8	7	154
9	8	153
10	8	151
11	9	150
12	10	149
13	11	146
14	11	145
15	12	143
16	13	141
17	13	140
18	14	138
19	15	136
20	15	134
21	16	133
22	17	131
23	17	129
24	18	128
25	18	126
26	19	125
27	20	123
28	20	122
29	21	121
30	21	119
31	22	118
32	23	116
33	23	115
34	24	114
35	24	113
36	25	112
37	26	111
38	26	109
39	27	108
40	27	107
41	28	106
42	28	105
43	29	104
44	29	102
45	30	101
46	31	101
47	31	99
48	32	99
49	32	97
50	33	96
51	33	95
52	34	94
53	34	93
54	35	92
55	35	91
56	36	90
57	36	89
58	37	88
59	37	87
60	38	86
61	38	85
62	39	84
63	39	84
64	40	83
65	40	82
66	41	81
67	41	80
68	42	79
69	42	78
70	42	77
71	43	77
72	43	76
73	44	75
74	44	74
75	44	73
76	45	72
77	45	71
78	46	70
79	46	70
80	47	69
81	47	68
82	48	67
83	48	67
84	49	66
85	49	65
86	49	64
87	50	64
88	50	63
89	51	63
90	52	62
91	52	61
92	53	61
93	53	60
94	53	59
95	54	58
96	54	58
97	55	57
98	55	56
99	56	56
100	56	55
101	57	54
102	57	54
103	57	53
104	58	52
105	58	52
106	59	51
107	59	50
108	60	50
109	60	49
110	60	48
111	61	48
112	61	47
113	62	46
114	62	46
115	62	45
116	63	44
117	63	44
118	64	43
119	64	43
120	65	42
121	65	41
122	65	41
123	66	40
124	66	40
125	67	39
126	67	38
127	67	38
128	68	37
129	68	37
130	69	36
131	69	35
132	70	35
133	70	34
134	70	34
135	71	33
136	71	32
137	72	32
138	72	31
139	72	31
140	73	30
141	73	30
142	74	29
143	74	28
144	74	28
145	75	27
146	75	27
147	75	26
148	76	26
149	76	25
150	77	25
151	77	24
152	77	23
153	78	23
154	78	22
155	79	22
156	79	21
157	79	21
158	80	20
159	80	20
160	80	19
161	81	19
162	81	18
163	82	18
164	82	17
165	83	17
166	83	16
167	83	15
168	84	15
169	84	14
170	85	14
171	85	13
172	85	13
173	86	12
174	86	12
175	87	11
176	87	11
177	87	10
178	88	10
179	88	9
180	89	9
181	89	8
182	89	8
183	90	7
184	90	7
185	91	6
186	91	6
187	91	5
188	92	5
189	92	4
190	93	4
191	93	3
192	93	3
193	94	2
194	94	2
195	95	1
196	95	1
197	95	0
198	96	0
199	96	0
